,0,1,2,3,4,5,6
6030,0.0,0.0,0.0,1.0,01-10-06,19:30,135
11081,0.0,1.0,0.0,0.0,24-10-06,10:15,148
1645,0.0,0.0,1.0,0.0,18-10-06,3:15,2
5187,1.0,0.0,0.0,0.0,24-10-06,0:45,10
654,0.0,0.0,1.0,0.0,07-10-06,19:30,206
1845,0.0,0.0,1.0,0.0,20-10-06,5:15,48
6585,0.0,0.0,0.0,1.0,07-10-06,14:15,337
10149,0.0,1.0,0.0,0.0,14-10-06,17:15,175
3618,1.0,0.0,0.0,0.0,07-10-06,16:30,132
8657,0.0,0.0,0.0,1.0,29-10-06,4:15,28
5973,0.0,0.0,0.0,1.0,01-10-06,5:15,22
6023,0.0,0.0,0.0,1.0,01-10-06,17:45,319
6553,0.0,0.0,0.0,1.0,07-10-06,6:15,45
10139,0.0,1.0,0.0,0.0,14-10-06,14:45,202
541,0.0,0.0,1.0,0.0,06-10-06,15:15,353
3828,1.0,0.0,0.0,0.0,09-10-06,21:00,63
